brand_or_brewery,drink_count,product_candidate_count,public_visible_count,distinct_product_names,sample_names
蔓延,20,14,8,14,拐点|北地显影|像蔓越莓|立方|博卡|短相思|长相思|大师的疯狂|乱语|中途乐园|酒花构建|惊慌
Alus,17,7,6,7,喵醺|南方|泡泡浴|饼干|沙滩|喵熏|醉狗Vol.03
艾尔复兴,14,14,8,14,一起漂浮|无序：汪汪惊喜|无序冰壶|单板滑雪|双板滑雪|瑞瓦卡酒花|米兰日落|干就完了|哈瓦那辣椒|机器罢工嘴巴别停|无序 神圣祝福|整个花活
Fever,14,10,3,10,谷仓铜|全明|另一个吻·香草|折射|谷仓金|想象中的雨|金星的日落|星空领航员|梦见风|白拉格2026
邪恶双子,13,12,11,12,此店需要更多更大的啤酒|秋日酸艾|蜜桃奶油|酸IPA万岁|更多老熊先生|更多更朦胧的窗户|更多愚蠢果汁梦|白葡桑格利亚|芒果拉达城市酸饮|地狱烟火|狂野的啤酒梦|全新热门IPA
明日酿造,12,11,5,11,长相思|全村的希望 大米拉格|老板的最爱 双倍IPA|超级西楚 双倍浑浊IPA|明日繁华Lite DDH浑浊IPA|恐怖如斯 帝国IPA|风景这边独好|Come Back to 2016|多莉塔 冽光|太平洋四重奏|朦胧的梦 八周年内测版
退界,11,6,4,6,下快攻|小夫|晓夫|爸爸 papa|狄俄尼索斯的眼泪|爸爸papà
赤屿谷盗,10,6,6,6,一丛殊花|依帕|米贼|凌晨四点|盐而盗柠|长夏有风
彼岸酿造,9,7,1,7,望梅止渴|月光宝盒|寒鸦与钟声|南部之星|黑尔戈蓝岛日落|春日来信|夜曲
勿幕,9,9,5,9,暗椰|烟熏乌梅|冰川|战斧之力|盐洞·柑橘风暴眼|解构|山核桃覆盆子|丛林浓汁|小青瓜有机农甜米泥
玄水屋,9,5,4,5,白天使|星际物质|黑武士|奖励关卡|卡里斯马
哈德逊河谷,8,8,2,8,游隼|河谷2024|杂散光|河谷|动物气球|剪影桃|巴比伦|潜行故障
TAPSTAR,8,7,3,7,有限社交|北极星|有限社交 美式淡色艾尔|北极星 浑浊IPA|老伙计 西海岸IPA|凉拖拖 青柠皮尔斯|鸵鸟的牙
凯西,7,5,5,5,精明强干|幸运|焦点二号|原始灵魂示意|范尼拉瑰红1号
洛莱,7,7,2,7,鬣狗|美洲豹|阿尔克斯|解药|阿尔科莱|卢比孔3|雄鹰
山雀,7,7,7,7,旋转木马|攀石|不误正夜|重逢|老炮|复仇之怒|祁门晨雾
疯熊,6,5,1,5,啤酒实习生2603|实习生2603|流动|梦|轻硫醇皮尔森
狐朋酿造,6,6,0,6,鸡有鸡味|莓好前程|海边驿站|马上有桔|酒花英雄|后花园的混合黄皮
