source_name,canonical_group,verified_name_zh,verified_name_en,verified_city,verified_country,country_code,city_country,verified_entity_type,verification_status,confidence,uncertainty_flag,operational_status,verification_note,source_urls,verified_at,original_candidate_zh,original_candidate_en,original_suggested_country,raw_country_values,drink_count,public_visible_count,sample_drink_names,original_review_note
Fever,FEVER,FEVER,Fever Ales,西安,中国,CN,西安（中国）,brewery_brand,corrected,high,,,“想象中的雨”是其酒款，不是酒厂名。,https://untappd.com/FeverAles | https://www.tengnian.com/brewery/50,2026-07-01,,Fever,China,西安:3,20,5,谷仓铜|全明|另一个吻·香草|Fever|搜魂者|折射|谷仓金|想象中的雨|金星的日落|星空领航员,
Alus,Alus,Alus,Alus Brew Co.,深圳,中国,CN,深圳（中国）,brewery_brand,partially_verified,medium,partially_verified | city_unverified,,英文名与国家已确认；未找到足够可靠的城市来源，城市留空。,https://untappd.com/w/alus-brew-co/581964,2026-07-01,,Alus,China,深圳:6,17,6,喵醺|南方|泡泡浴|饼干|沙滩|喵熏|醉狗Vol.03,
艾尔复兴,艾尔复兴,艾尔复兴,Re Ale Revival Brewing,"Cambridge, Maryland",美国,US,"Cambridge, Maryland（美国）",brewery_brand,verified,high,,,微信文案/审核：马里兰州剑桥；水果酸艾尔与酒花型。,,2026-07-23,艾尔复兴,Ale Renaissance,United States,美国:8,14,8,一起漂浮|无序：汪汪惊喜|无序冰壶|单板滑雪|双板滑雪|瑞瓦卡酒花|米兰日落|干就完了|哈瓦那辣椒|机器罢工嘴巴别停,audit_2026-07-23_approved
邪恶双子,邪恶双子,邪恶双子,Evil Twin Brewing NYC,New York City,美国,US,New York City（美国）,brewery_brand,verified,high,,,城市按其纽约酒厂/品牌运营地填写。,https://eviltwin.nyc/,2026-07-01,邪恶双子,Evil Twin Brewing,United States,美国:11,13,11,此店需要更多更大的啤酒|秋日酸艾|蜜桃奶油|酸IPA万岁|更多老熊先生|更多更朦胧的窗户|更多愚蠢果汁梦|白葡桑格利亚|芒果拉达城市酸饮|地狱烟火,
明日酿造,明日酿造,明日酿造,Mingri Brewing,上海,中国,CN,上海（中国）,brewery_brand,verified,high,,,,https://untappd.com/v/mingri-brewing/9992037,2026-07-01,明日酿造,Mingri Brewing,China,上海:5,12,5,长相思|全村的希望 大米拉格|老板的最爱 双倍IPA|超级西楚 双倍浑浊IPA|明日繁华Lite DDH浑浊IPA|恐怖如斯 帝国IPA|风景这边独好|Come Back to 2016|多莉塔 冽光|太平洋四重奏,
退界,退界,退界,,成都,中国,CN,成都（中国）,brewery_brand,partially_verified,medium,partially_verified | english_unverified,,中文品牌与城市可确认；未找到足够可靠的官方英文名，因此英文留空。,https://www.460.net.cn/news/show-119016.html,2026-07-01,退界,Tuijie,China,成都:4,11,4,下快攻|小夫|晓夫|爸爸 papa|狄俄尼索斯的眼泪|爸爸papà,
赤屿谷盗,赤屿谷盗,赤屿谷盗,Grain Thief,海南,中国,CN,海南（中国）,brewery_brand,partially_verified,low,partially_verified | english_unverified,,“依帕”是酒款；公开来源不足以确认官方英文名和具体城市，英文留空。,,2026-07-01,赤屿谷盗,Chiyu Gudao,China,海南:3,10,6,一丛殊花|依帕|米贼|凌晨四点|盐而盗柠|长夏有风,
彼岸酿造,彼岸酿造,彼岸酿造,The Other Shore,乐山,中国,CN,乐山（中国）,brewery_brand,verified,medium,,,英文名由酒款/酒厂页面交叉确认。,https://untappd.com/b/the-other-shore/6689038,2026-07-01,彼岸酿造,Bian Brewing,,乐山:1,9,1,望梅止渴|月光宝盒|寒鸦与钟声|南部之星|黑尔戈蓝岛日落|春日来信|夜曲,
勿幕,勿幕精酿,勿幕精酿,WUMU Brewery,西安,中国,CN,西安（中国）,brewery_brand,verified,high,,,,https://untappd.com/w/wumu-craft-beer/383025/beer,2026-07-01,勿幕,WUMUE Brewery,China,西安:3,9,5,暗椰|烟熏乌梅|冰川|战斧之力|盐洞·柑橘风暴眼|解构|山核桃覆盆子|丛林浓汁|小青瓜有机农甜米泥,
玄水屋,玄水屋,玄水屋,SENSEVOL,西安,中国,CN,西安（中国）,brewery_brand,verified,medium,,,Untappd 页面显示 SENSEVOL 玄水屋及西安所在地。,https://untappd.com/w/sensevol/568713,2026-07-01,玄水屋,Xuan Shui Wu,China,西安:4,9,4,白天使|星际物质|黑武士|奖励关卡|卡里斯马,
