source_name,suggested_country,suggested_country_code,country_confidence,raw_country_values,drink_count,public_visible_count,sample_drink_names,note
蔓延,China,CN,medium,武汉:8,20,8,拐点|北地显影|像蔓越莓|立方|博卡|短相思|长相思|大师的疯狂|乱语|中途乐园,"source value is China region/city, not country"
Fever,China,CN,medium,西安:3,20,5,谷仓铜|全明|另一个吻·香草|Fever|搜魂者|折射|谷仓金|想象中的雨|金星的日落|星空领航员,"source value is China region/city, not country"
Alus,China,CN,medium,深圳:6,17,6,喵醺|南方|泡泡浴|饼干|沙滩|喵熏|醉狗Vol.03,"source value is China region/city, not country"
艾尔复兴,United States,US,high,美国:8,14,8,一起漂浮|无序：汪汪惊喜|无序冰壶|单板滑雪|双板滑雪|瑞瓦卡酒花|米兰日落|干就完了|哈瓦那辣椒|机器罢工嘴巴别停,
邪恶双子,United States,US,high,美国:11,13,11,此店需要更多更大的啤酒|秋日酸艾|蜜桃奶油|酸IPA万岁|更多老熊先生|更多更朦胧的窗户|更多愚蠢果汁梦|白葡桑格利亚|芒果拉达城市酸饮|地狱烟火,
明日酿造,China,CN,medium,上海:5,12,5,长相思|全村的希望 大米拉格|老板的最爱 双倍IPA|超级西楚 双倍浑浊IPA|明日繁华Lite DDH浑浊IPA|恐怖如斯 帝国IPA|风景这边独好|Come Back to 2016|多莉塔 冽光|太平洋四重奏,"source value is China region/city, not country"
退界,China,CN,medium,成都:4,11,4,下快攻|小夫|晓夫|爸爸 papa|狄俄尼索斯的眼泪|爸爸papà,"source value is China region/city, not country"
赤屿谷盗,China,CN,medium,海南:3,10,6,一丛殊花|依帕|米贼|凌晨四点|盐而盗柠|长夏有风,"source value is China region/city, not country"
彼岸酿造,,,low,乐山:1,9,1,望梅止渴|月光宝盒|寒鸦与钟声|南部之星|黑尔戈蓝岛日落|春日来信|夜曲,unmapped country value; review manually
勿幕,China,CN,medium,西安:3,9,5,暗椰|烟熏乌梅|冰川|战斧之力|盐洞·柑橘风暴眼|解构|山核桃覆盆子|丛林浓汁|小青瓜有机农甜米泥,"source value is China region/city, not country"
玄水屋,China,CN,medium,西安:4,9,4,白天使|星际物质|黑武士|奖励关卡|卡里斯马,"source value is China region/city, not country"
哈德逊河谷,United States,US,high,美国:2,8,2,游隼|河谷2024|杂散光|河谷|动物气球|剪影桃|巴比伦|潜行故障,
TAPSTAR,,,low,贵阳:1,8,3,有限社交|北极星|有限社交 美式淡色艾尔|北极星 浑浊IPA|老伙计 西海岸IPA|凉拖拖 青柠皮尔斯|鸵鸟的牙,unmapped country value; review manually
凯西,United States,US,high,美国:4,7,5,精明强干|幸运|焦点二号|原始灵魂示意|范尼拉瑰红1号,
洛莱,United States,US,high,美国:2,7,2,鬣狗|美洲豹|阿尔克斯|解药|阿尔科莱|卢比孔3|雄鹰,
山雀,China,CN,medium,上海:4|上海嘉定:3,7,7,旋转木马|攀石|不误正夜|重逢|老炮|复仇之怒|祁门晨雾,"source value is China region/city, not country | source value is China region/city, not country"
虽吾,China,CN,medium,苏州:2|扬州:2,7,4,小花冠|飞越云海|金狼之舞|日出茶山|果浪澳游,"source value is China region/city, not country | source value is China region/city, not country"
疯熊,China,CN,medium,广州:1,6,1,啤酒实习生2603|实习生2603|流动|梦|轻硫醇皮尔森,"source value is China region/city, not country"
狐朋酿造,,,none,,6,0,鸡有鸡味|莓好前程|海边驿站|马上有桔|酒花英雄|后花园的混合黄皮,
辉光,United States,US,high,美国:2,6,2,醉佳|白日梦|全场最佳|古龙水|白板,
回头客,United States,US,high,美国:2,6,2,果味满满19号|果味满满|卡南代瓜优质拉格|新英格兰99号|德式皮尔森,
撬啤酿造,,,none,,6,6,内个周五十一点半有个哥们进来就吐两个小时，吐了四次吐得很准非常感谢|水库浪子 桔柚π|卡拉斯科|Naive|水库浪子|风戏水,
僧侣,United States,US,high,美国:2,6,3,Kid Casino|笔触|洛城之花|依旧交通粘性|背包|雾窗,
野鹅微醺,,,none,,6,0,富贵榴|朝花三倍干头浑浊IPA|陈皮的旅行|南境之花NZ-105|无限螺旋|南境之花,
本末·特伦,United States,US,high,美国:2,5,2,劫尽|业劫|历史学会|本劫,
赤耳,China,CN,medium,北京:1,5,2,黄米拉格|西瓜商店|阳光洒肩头|普通的一天|青芒果芭乐,"source value is China region/city, not country"
另一半,United States,US,high,美国:3,5,3,番茄工厂|另一半12周年|速溶绿色|旋涡3号|小小4周年,
矛盾体,United States,US,high,美国:1,5,1,亚特兰大出口|基数|法里纳|命令行编译|弧度,
欧米尼珀罗,Sweden,SE,high,瑞典:2,5,2,史蒂夫之斧|3乘3七号|笑脸|不二之选,
虽吴,China,CN,medium,苏州:1,5,1,小花冠|凤尾果香|金狼之舞,"source value is China region/city, not country"
野鹅,,,low,石家庄:1,5,2,夜莺|无限螺旋|南境之花|桃林漫步,unmapped country value; review manually
远山,,,none,,5,1,瓦哈卡日出|阿尔派恩淡影|阿尔卑斯|布里斯班淡影,
半颠,,,none,,4,2,余光未尽 皮尔森|暮光犹存|生龙活虎|伦敦啸叫,
彼岸,,,none,,4,1,老城琥珀|望梅止渴|夜曲|爱因斯坦的数数学成绩单,
费登斯,United States,US,high,美国:2,4,2,精益求精|元素的艺术|海冬|桃桃农夫,
疯熊工业,China,CN,medium,广州:1,4,1,东分影|梦|像风,"source value is China region/city, not country"
裂变酿造,China,CN,medium,佛山:1,4,1,星云甘露|Nebula Nectar|春季拉格|眩目,"source value is China region/city, not country"
蔓延酿造,China,CN,medium,武汉:2,4,2,辛香农舍|辛青农舍|北地显影|立方,"source value is China region/city, not country"
闪电萨拉玛,,,none,,4,0,低档狂飙|头脑风暴|幻境拉拉|芭比之殇,
生命长河,United States,US,high,美国:2,4,2,全视之眼|纪念日10|双重黑喵,
无毛用,China,CN,medium,广州:2,4,3,岁寒 柏木酒酸|岁寒|阿佳|空行母,"source value is China region/city, not country"
云朴精酿,China,CN,medium,昆明:1,4,1,风暴中心 金桔芒果酸|今日与春风相会,"source value is China region/city, not country"
百威,,,none,,3,0,测试|测试2|测试99,
凡人,United States,US,high,美国:1,3,1,飞履|配瑟芬|苍穹之神,
风土,,,none,,3,0,雪峰|第一个纪念日,
风土酿造,,,none,,3,2,岩上|第一个纪念日|布拉格金色愿望,
